House,pyo,SDSE,pyo_prop,SDSE_prop
HH_220,7,8,0.4666666666666667,0.5333333333333333
HH_224,15,24,0.38461538461538464,0.6153846153846154
HH_225,5,14,0.2631578947368421,0.7368421052631579
HH_236,4,6,0.4,0.6
HH_237,20,15,0.5714285714285714,0.42857142857142855
HH_260,16,22,0.42105263157894735,0.5789473684210527
HH_263,9,12,0.42857142857142855,0.5714285714285714
HH_288,12,9,0.5714285714285714,0.42857142857142855
HH_298,9,8,0.5294117647058824,0.47058823529411764
HH_302,22,17,0.5641025641025641,0.4358974358974359
HH_338,15,32,0.3191489361702128,0.6808510638297872
HH_343,10,5,0.6666666666666666,0.3333333333333333
HH_366,5,5,0.5,0.5
HH_394,4,9,0.3076923076923077,0.6923076923076923
HH_403,4,4,0.5,0.5
HH_425,29,29,0.5,0.5
HH_479,14,7,0.6666666666666666,0.3333333333333333
HH_536,18,25,0.4186046511627907,0.5813953488372093
